"","casn","dsstox_substance_id","mean.dnt","mean.bsk","mean.atg"
"1","151772-58-6","DTXSID30382063",-0.739316354732929,0.93704700675155,1.72239371441118
"2","90177-96-1","DTXSID30396867",-0.286490029833172,0.845098040014257,0.733629799025849
"3","377-38-8","DTXSID8059928",0.107100731498033,1.30102999566398,NA
"4","647-42-7","DTXSID5044572",0.150643562706473,1.73477659086367,1.96675312107671
"5","6588-63-2","DTXSID80379781",0.265117364509129,NA,NA
"6","147492-57-7","DTXSID40380797",0.324787395018835,1.44740563735804,1.73884569398513
"7","1652-63-7","DTXSID8051419",0.390966372367508,1.39704792682955,1.6815084994141
"8","356-02-5","DTXSID00379268",0.512226935245667,NA,NA
"9","2264-01-9","DTXSID80379721",0.529179936291305,1.14390292406556,1.59097963417202
"10","678-95-5","DTXSID5060986",0.594560360829108,1.02363663575693,1.37544882039739
"11","4151-50-2","DTXSID1032646",0.6021076599094,1.26528933545166,1.54417008563573
"12","57678-01-0","DTXSID90558000",0.611291929183263,0.607840941039747,1.43351888709076
"13","80220-63-9","DTXSID30627108",0.682197519583628,1.04721687145059,1.65840037027597
"14","559-94-4","DTXSID7060332",0.803869016425998,1.25159544146226,1.43922229485941
"15","34143-74-3","DTXSID20337446",0.814521314106113,NA,NA
"16","7383-71-3","DTXSID10224331",0.876224752697899,1.20264826472693,1.94937397674388
"17","423-65-4","DTXSID80375107",0.949164024754156,-0.743185663046825,1.72703633860676
"18","2043-55-2","DTXSID1047578",0.970460052081115,NA,1.57534712581053
"19","335-67-1","DTXSID8031865",1.00107493765753,1.03959062302381,1.68022870149484
"20","678-77-3","DTXSID0060985",1.00657217754325,1.30102999566398,NA
"21","1691-99-2","DTXSID6027426",1.05336736538727,1.20795315144597,1.51471698045164
"22","754-91-6","DTXSID3038939",1.15401531138424,1.39017652677029,1.43722990329667
"23","1682-31-1","DTXSID9061881",1.15932093113203,1.30102999566398,1.72080921990245
"24","52591-27-2","DTXSID1068772",1.16072054901968,1.37365764882543,1.96490430951092
"25","77953-71-0","DTXSID70379295",1.17637622814673,1.18146810761567,1.46760330791829
"26","307-31-3","DTXSID70381151",1.32302582621144,1.63607433892124,2.14848190643011
"27","754-96-1","DTXSID50369896",1.33660077278803,1.52082055321274,0.714078322551392
"28","17587-22-3","DTXSID3066215",1.33861141310706,NA,NA
"29","355-80-6","DTXSID0059879",1.40350284387266,0.801029995663981,NA
"30","678-39-7","DTXSID7029904",1.42337295736902,1.28967031640088,1.7955730378848
"31","13695-31-3","DTXSID3065586",1.43410905945035,NA,1.41057982831674
"32","1651-41-8","DTXSID10379991",1.43909593327763,1.25698394465181,1.28020170838193
"33","1763-28-6","DTXSID30170109",1.47953604717752,0.908778510896898,1.13341919852104
"34","54009-81-3","DTXSID00379884",1.49980707652363,NA,NA
"35","24448-09-7","DTXSID7027831",NA,-0.176935982160881,NA
"36","812-70-4","DTXSID90382620",NA,0.225041336389027,2.15783539140038
"37","2043-52-9","DTXSID90880156",NA,0.301029995663981,1.57668280320997
"38","863090-89-5","DTXSID60500450",NA,0.301029995663981,1.79734814999414
"39","125070-38-4","DTXSID10382147",NA,0.301029995663981,2.07269498739678
"40","375-73-5","DTXSID5030030",NA,0.301029995663981,2.13302092455237
"41","374-98-1","DTXSID4059912",NA,0.482386010447406,NA
"42","375-22-4","DTXSID4059916",NA,0.573064017839119,2.15958359980036
"43","252237-40-4","DTXSID20179883",NA,0.573064017839119,NA
"44","914637-49-3","DTXSID20874028",NA,0.725041336389027,2.02544927671972
"45","2058-94-8","DTXSID8047553",NA,0.763686586135703,1.63550965220083
"46","2043-47-2","DTXSID1062122",NA,0.801029995663981,NA
"47","335-99-9","DTXSID9059832",NA,0.845098040014257,0.703100399353412
"48","757124-72-4","DTXSID30891564",NA,0.845098040014257,NA
"49","31506-32-8","DTXSID1067629",NA,0.896604452427947,1.12427854653904
"50","424-16-8","DTXSID30340244",NA,1.07306401783912,0.662364995645792
